,ParcelID,Hem,Surface area (mm2),Centroid (MNI),Community,x,y,z,ParcelID_sorted
193,194,R,63.6578,5.1 -17.1 51.6,SMhand,5.1,-17.1,51.6,290
205,206,R,81.8931,17 -16.9 70.9,SMhand,17.0,-16.9,70.9,291
204,205,R,193.0225,29.2 -13.5 64.2,SMhand,29.2,-13.5,64.2,292
194,195,R,123.7458,6.8 -8.1 50.9,SMhand,6.8,-8.1,50.9,293
206,207,R,144.0156,20.9 -6.4 65,SMhand,20.9,-6.4,65.0,294
217,218,R,134.1968,47.8 -15.1 49.3,SMmouth,47.8,-15.1,49.3,295
196,197,R,225.414,42.3 -11 47.3,SMmouth,42.3,-11.0,47.3,296
211,212,R,813.603,53.9 -8.3 26.1,SMmouth,53.9,-8.3,26.1,297
163,164,R,303.2644,49.6 -7.4 36.1,SMmouth,49.6,-7.4,36.1,298
246,247,R,109.4554,30.6 22.8 -4.7,Salience,30.6,22.8,-4.7,299
182,183,R,103.7473,8.4 34.7 22.6,Salience,8.4,34.7,22.6,300
220,221,R,126.8352,57.5 -45.3 9,VentralAttn,57.5,-45.3,9.0,301
227,228,R,82.9075,47.4 -39.6 13.2,VentralAttn,47.4,-39.6,13.2,302
221,222,R,146.9686,60.9 -38.7 1.7,VentralAttn,60.9,-38.7,1.7,303
228,229,R,171.3249,45.5 -37.3 3.4,VentralAttn,45.5,-37.3,3.4,304
230,231,R,186.7755,48.5 -26.5 -0.1,VentralAttn,48.5,-26.5,-0.1,305
332,333,R,66.6635,46.6 -21.5 -8.5,VentralAttn,46.6,-21.5,-8.5,306
225,226,R,134.841,57.1 -17 -2.6,VentralAttn,57.1,-17.0,-2.6,307
331,332,R,129.568,57.1 -6.3 -7.7,VentralAttn,57.1,-6.3,-7.7,308
242,243,R,272.1276,27.4 19.7 -14.9,VentralAttn,27.4,19.7,-14.9,309
236,237,R,121.2342,52.5 23.7 10.3,VentralAttn,52.5,23.7,10.3,310
241,242,R,268.7343,45.2 30.7 -5.6,VentralAttn,45.2,30.7,-5.6,311
240,241,R,92.8435,48.1 38.3 -9.2,VentralAttn,48.1,38.3,-9.2,312
306,307,R,187.6045,13.8 -92.3 14.7,Visual,13.8,-92.3,14.7,313
308,309,R,142.2532,20.4 -87.3 -6.6,Visual,20.4,-87.3,-6.6,314
262,263,R,1229.8269,31.7 -85.7 2.4,Visual,31.7,-85.7,2.4,315
255,256,R,100.2299,7.7 -85.6 31.6,Visual,7.7,-85.6,31.6,316
165,166,R,593.5447,22 -84.6 23.7,Visual,22.0,-84.6,23.7,317
309,310,R,161.0441,5.1 -80.2 23.1,Visual,5.1,-80.2,23.1,318
254,255,R,161.0414,17.6 -78.3 34,Visual,17.6,-78.3,34.0,319
257,258,R,196.9966,35.4 -77.1 21.1,Visual,35.4,-77.1,21.1,320
174,175,R,1935.3433,15.5 -74.1 9.4,Visual,15.5,-74.1,9.4,321
307,308,R,209.8972,10.5 -73.8 -1.5,Visual,10.5,-73.8,-1.5,322
310,311,R,132.4753,14.6 -70.3 23.3,Visual,14.6,-70.3,23.3,323
297,298,R,938.133,26.9 -69.1 -6.6,Visual,26.9,-69.1,-6.6,324
263,264,R,434.2555,43.8 -67.2 2,Visual,43.8,-67.2,2.0,325
176,177,R,248.7267,15.6 -59.6 -5,Visual,15.6,-59.6,-5.0,326
250,251,R,224.6477,26.8 -55 54.2,Visual,26.8,-55.0,54.2,327
266,267,R,156.0239,49 -54.5 8.8,Visual,49.0,-54.5,8.8,328
264,265,R,732.0485,47.3 -52.4 -11.7,Visual,47.3,-52.4,-11.7,329
168,169,R,102.0263,22.3 -46.5 -9.9,Visual,22.3,-46.5,-9.9,330
292,293,R,72.3148,31.2 -45.6 -5.8,Visual,31.2,-45.6,-5.8,331
175,176,R,271.7806,19.6 -45.3 -4.4,Visual,19.6,-45.3,-4.4,332
298,299,R,568.8912,34.9 -44 -20,Visual,34.9,-44.0,-20.0,333
